country,city,temp,weather,wind,visibility,pressure,humidity,dewpoint,ntemp,nwind,nhumidity
Albania,Tirana,8,Partly cloudy.,4,,1013,82,5,7,8,83
Algeria,Algiers,16,Partly sunny.,11,10,1023,75,12,17,23,66
Angola,Luanda,27,Partly sunny.,11,,1008,79,23,31,10,74
Antigua and Barbuda,Saint Johns,28,Partly sunny.,17,,1017,70,22,29,18,69
Argentina,Buenos Aires,28,Sunny.,26,16,1013,51,17,29,17,46
Armenia,Yerevan,3,Fog.,7,2,1022,97,2,4,3,71
Australia,Canberra,16,Clear.,6,,1014,55,7,31,17,17
Austria,Vienna,4,Overcast.,9,30,1010,73,0,-2,13,86
Azerbaijan,Baku,5,Overcast.,24,,1023,93,4,5,31,78
Bahamas,Nassau,26,Broken clouds.,19,,1023,42,12,26,19,61
Bahrain,Manama,18,Clear.,30,7,1020,49,7,18,32,57
Bangladesh,Dhaka,19,Haze.,7,3,1012,68,13,25,9,38
Barbados,Bridgetown,29,Scattered clouds.,37,,1015,70,23,30,31,76
Belarus,Minsk,-3,Light snow. Overcast.,6,9,1006,93,-4,-6,6,88
Belgium,Brussels,1,Partly cloudy.,4,6,999,93,0,2,10,80
Belize,Belmopan,21,Overcast.,9,25,1019,95,20,24,9,80
Benin,Porto Novo,30,Passing clouds.,22,8,1008,75,25,37,10,55
Bermuda,Hamilton,20,Scattered clouds.,19,,1024,49,9,19,22,64
Bhutan,Thimphu,-8,Ice fog.,2,30,,48,-17,8,11,46
Bosnia Herzegovina,Sarajevo,0,Mostly cloudy.,4,6,1012,100,0,4,5,93
Botswana,Gaborone,34,Sunny.,11,16,1011,12,1,33,20,13
Brazil,Brasilia,30,Scattered clouds.,20,,1018,27,9,28,18,36
British Virgin Islands,Road Town,30,Scattered clouds.,19,,1018,59,21,28,19,77
Brunei,Bandar Seri Begawan,25,Passing clouds.,4,,1008,100,25,37,13,70
Bulgaria,Sofia,1,Light snow. Overcast.,7,6,1013,97,0,0,9,89
Burundi,Bujumbura,24,Light rain. More clouds than sun.,41,7,1012,74,19,29,10,51
Cambodia,Phnom Penh,25,Light rain. Passing clouds.,6,9,1009,94,24,34,9,57
Cameroon,Yaounde,30,Partly sunny.,6,7,1012,55,20,30,7,48
Canada,Ottawa,3,Overcast.,26,16,1005,70,-2,-1,19,79
Cape Verde,Praia,23,Scattered clouds.,41,18,1018,59,14,25,24,56
Central African Republic,Bangui,31,Clear.,11,8,1007,49,19,30,7,28
Chad,Ndjamena,32,Passing clouds.,6,,1009,7,-8,30,10,8
Chile,Santiago,25,Passing clouds.,22,,1012,47,13,28,20,37
China,Beijing,-3,Ice fog.,4,22,1027,46,-13,-6,14,49
Colombia,Bogota,20,Passing clouds.,19,,1026,38,5,15,13,57
Comoros,Moroni,25,Partly cloudy.,No wind,,1012,94,24,34,15,76
Congo Demrep,Kinshasa,28,Passing clouds.,7,,1009,66,21,31,10,74
Congo,Brazzaville,28,Passing clouds.,7,,1009,66,21,30,10,74
Cook Islands,Rarotonga,27,Mostly cloudy.,22,,1012,84,24,30,20,77
Costa Rica,San Jose,25,Partly sunny.,20,,1017,54,15,21,17,75
Cote Divoire,Yamoussoukro,35,Scattered clouds.,No wind,7,1006,33,17,33,12,25
Croatia,Zagreb,1,Low clouds.,9,,1011,93,0,4,7,76
Cuba,Havana,24,Broken clouds.,19,,1022,65,17,25,23,65
Cyprus,Nicosia,18,Passing clouds.,7,50,1020,43,5,14,14,66
Cyprus,North Nicosia,18,Passing clouds.,7,50,1020,43,5,14,14,66
Czech Republic,Prague,1,Passing clouds.,15,,1004,81,-2,-5,17,90
Denmark,Copenhagen,2,Passing clouds.,7,,1003,93,1,-2,7,89
Djibouti,Djibouti,24,Passing clouds.,13,,1018,50,13,30,15,68
Dominican Republic,Santo Domingo,27,Scattered clouds.,4,16,1019,80,23,30,11,73
Dominica,Roseau,30,Passing clouds.,20,,1015,49,18,30,28,66
Ecuador,Quito,15,Scattered showers. Broken clouds.,20,,1030,72,10,18,12,55
Egypt,Cairo,16,Clear.,15,16,1022,55,7,24,20,29
El Salvador,San Salvador,27,Sunny.,20,16,1016,48,15,28,13,48
Equatorial Guinea,Malabo,28,Passing clouds.,11,6,1009,79,24,34,10,68
Estonia,Tallinn,-1,Mostly cloudy.,9,,1008,86,-3,-8,12,87
Ethiopia,Addis Ababa,20,Passing clouds.,22,,1025,40,6,25,17,33
Falkland,Stanley,14,Passing clouds.,28,,1005,59,6,10,36,62
Fiji,Suva,27,Passing clouds.,11,50,1012,88,25,33,17,77
Finland,Helsinki,-4,Passing clouds.,11,,1009,93,-5,-13,18,84
France,Paris,10,Drizzle. Low clouds.,20,,1000,94,9,4,14,94
Gabon,Libreville,27,Passing clouds.,9,,1009,84,24,35,13,73
Gambia,Banjul,33,Sunny.,11,9,1010,17,5,29,18,36
Georgia,Tbilisi,7,Clear.,17,,1020,66,1,6,9,69
Germany,Berlin,2,Passing clouds.,9,,1003,87,0,-2,9,89
Ghana,Accra,29,Clear.,28,7,1008,70,23,36,21,68
Gibraltar,Gibraltar,17,Partly sunny.,24,,1028,73,12,16,24,72
Greece,Athens,15,Cool.,,,1013,77,11,13,19,76
Greenland,Nuuk,0,Partly sunny.,44,,990,47,-10,-9,28,62
Grenada,Saint Georges,29,Broken clouds.,28,,1014,79,25,24,30,81
Guatemala,Guatemala,20,Scattered clouds.,26,,1027,60,12,25,23,57
Guinea Bissau,Bissau,33,Passing clouds.,9,,1008,21,8,32,17,22
Guinea,Conakry,30,Haze.,15,5,1009,66,23,31,15,58
Guyana,Georgetown,30,Broken clouds.,26,,1012,66,23,31,17,75
Haiti,Port Au Prince,31,Scattered clouds.,28,,1014,55,21,30,9,62
Honduras,Tegucigalpa,22,Partly sunny.,19,,1020,69,16,24,18,65
Hungary,Budapest,0,Clear.,6,16,1010,87,-2,-2,10,92
Iceland,Reykjavik,-5,Clear.,No wind,16,1006,86,-7,-7,37,66
India,New Delhi,21,Clear.,6,1,1013,56,12,20,9,40
Indonesia,Jakarta,27,Passing clouds.,7,6,1009,81,23,35,29,60
Iran,Tehran,5,Passing clouds.,11,,1015,61,-2,8,15,34
Iraq,Baghdad,11,Clear.,4,10,1022,68,5,17,13,42
Ireland,Dublin,4,Partly cloudy.,17,3,1005,100,4,8,29,94
Isle of Man,Douglas,3,Passing clouds.,4,,1004,93,2,3,20,98
Israel,Jerusalem,8,Chilly.,No wind,,990,80,5,13,8,51
Italy,Rome,14,Sunny.,9,16,1012,59,6,13,10,68
Jamaica,Kingston,28,Overcast.,7,20,1017,73,22,33,18,70
Japan,Tokyo,4,Chilly.,6,,1016,91,2,7,11,53
Jordan,Amman,8,Haze.,No wind,2,1023,82,5,13,13,43
Kazakstan,Astana,-21,Clear.,17,16,1032,84,-23,-32,27,77
Kenya,Nairobi,22,Passing clouds.,22,,1019,53,12,26,23,34
Kosovo,Pristina,0,Snow. Overcast.,6,1,1015,100,0,-1,12,78
Kuwait,Kuwait City,15,Clear.,15,16,1021,36,0,17,18,43
Kyrgyzstan,Bishkek,2,Clear.,2,,1025,68,-3,3,6,74
Laos,Vientiane,21,Fog.,4,3,1011,83,18,30,9,37
Latvia,Riga,-3,Passing clouds.,4,8,1008,93,-4,-8,8,97
Lebanon,Beirut,15,Passing clouds.,9,,1025,63,8,18,8,57
Liberia,Monrovia,31,Passing clouds.,15,9,1008,62,23,34,16,64
Liechtenstein,Vaduz,7,Quite cool.,9,,1002,43,-5,-1,9,81
Lithuania,Vilnius,-3,Low clouds.,11,,1007,93,-4,-7,8,88
Luxembourg,Luxembourg,1,Drizzle. Fog.,9,0,997,100,1,-1,12,87
Madagascar,Antananarivo,20,Passing clouds.,2,,1016,94,19,24,12,78
Malawi,Lilongwe,24,Passing clouds.,15,,1016,61,16,27,10,55
Malaysia,Kuala Lumpur,26,Partly cloudy.,No wind,,1009,89,24,34,11,64
Maldives,Male,28,Passing clouds.,22,7,1011,70,22,33,17,67
Mali,Bamako,32,Clear.,13,8,1013,9,-5,29,16,13
Malta,Valletta,13,Passing clouds.,15,,1013,82,10,13,37,77
Marshall Islands,Majuro,26,Overcast.,28,24,1007,86,23,32,20,80
Mauritania,Nouakchott,31,Sunny.,4,16,1013,13,0,26,24,20
Mauritius,Port Louis,23,Overcast.,6,12,,96,23,33,8,77
Mexico,Mexico City,16,Scattered clouds.,6,8,1028,31,-1,20,10,23
Micronesia,Palikir,24,Mostly cloudy.,6,24,1010,98,24,33,11,81
Moldova,Chisinau,0,Ice fog.,7,4,1011,93,-1,-5,9,95
Monaco,Monaco,11,Passing clouds.,37,,1009,58,3,13,13,61
Mongolia,Ulaanbaatar,-31,Clear.,2,16,1018,68,-35,-42,14,66
Montenegro,Podgorica,4,Passing clouds.,6,8,1013,93,3,6,4,86
Montserrat,Brades,28,Partly sunny.,17,,1017,70,22,29,25,69
Morocco,Rabat,16,Clear.,11,7,1029,68,10,17,10,63
Mozambique,Maputo,26,Passing clouds.,22,,1012,61,18,31,21,52
Namibia,Windhoek,28,Pleasantly warm.,4,,1017,32,10,28,12,31
Nepal,Kathmandu,8,Passing clouds.,6,6,1017,87,6,16,9,57
Netherlands,Amsterdam,3,Passing clouds.,9,9,1000,93,2,3,13,82
Netherlands,Oranjestad,31,Scattered clouds.,37,,1013,66,24,35,40,69
New Zealand,Wellington,20,Passing clouds.,30,,1016,83,17,24,30,67
Nicaragua,Managua,31,Scattered clouds.,26,,1011,52,20,33,24,52
Niger,Niamey,33,Clear.,19,8,1010,6,-9,29,25,7
Niue,Alofi,24,Mild.,13,,1011,94,23,33,28,76
North Korea,Pyongyang,-3,Clear.,4,10,1026,67,-9,-4,8,41
Norway,Oslo,-3,Light snow. Overcast.,9,2,1006,90,-4,-7,7,84
Oman,Muscat,23,Mild.,13,,1015,59,15,24,20,66
Pakistan,Islamabad,12,Haze.,No wind,4,1014,58,4,18,7,27
Palau,Ngerulmud,28,Overcast.,13,24,1008,81,25,30,15,83
Panama,Panama,31,Scattered clouds.,15,9,1010,66,24,33,14,75
Papua New Guinea,Port Moresby,23,Passing clouds.,9,,1005,94,22,36,12,74
Paraguay,Asuncion,31,Partly sunny.,17,,1009,66,24,38,11,68
Peru,Lima,22,Partly sunny.,,9,1013,85,19,24,12,74
Philippines,Manila,24,Passing clouds.,No wind,8,1011,83,21,33,13,54
Poland,Warsaw,1,Snow flurries. Passing clouds.,9,6,1007,93,0,-4,11,93
Portugal,Lisbon,14,Sunny.,13,16,1030,72,9,15,13,80
Puerto Rico,San Juan,28,Scattered clouds.,24,16,1018,72,23,30,21,74
Qatar,Doha,19,Dense fog.,22,1,1019,64,12,20,23,42
Republic of Macedonia,Skopje,0,Light snow. Mostly cloudy.,2,5,1014,93,-1,5,5,87
Reunion,Saint Denis,26,Fog.,No wind,4,1010,89,24,32,14,67
Romania,Bucharest,0,Light snow. Fog.,7,1,1013,100,0,-4,16,98
Russia,Moscow,-8,Light snow. Overcast.,2,,1011,88,-10,-7,10,88
Rwanda,Kigali,20,Passing clouds.,6,,1019,73,15,25,10,62
Saint Kitts and Nevis,Basseterre,29,Passing clouds.,19,,1017,66,22,29,26,69
Saint Lucia,Castries,28,Passing clouds.,22,,1016,74,23,30,31,72
Saint Vincent and Grenadines,Kingstown,28,Sprinkles. Partly sunny.,39,,1016,70,22,30,25,74
Samoa,Apia,26,Passing clouds.,7,20,1007,86,24,32,14,80
San Marino,San Marino,5,Fog.,6,3,1010,93,4,2,10,69
Sao Tome and Principe,Sao Tome,29,Partly sunny.,9,,1009,79,25,33,10,74
Saudi Arabia,Riyadh,14,Duststorm.,13,4,1023,29,-4,18,15,20
Senegal,Dakar,22,Sunny.,22,16,1012,61,14,25,17,52
Serbia,Belgrade,4,Overcast.,2,15,1014,73,0,0,12,89
Seychelles,Victoria,28,Passing clouds.,15,,1011,79,24,29,19,75
Sierra Leone,Freetown,31,Haze.,13,7,1008,66,24,33,16,57
Singapore,Singapore,26,Passing clouds.,9,,1008,89,24,35,12,67
Slovakia,Bratislava,0,Passing clouds.,6,,1009,93,-1,-4,17,92
Slovenia,Ljubljana,4,Partly sunny.,No wind,30,1012,72,0,4,6,65
Solomon Islands,Gizo,26,Passing clouds.,No wind,20,1008,99,26,35,12,70
Solomon Islands,Honiara,25,Passing clouds.,9,25,1007,86,23,35,11,76
South Africa,Pretoria,31,Passing clouds.,7,30,,21,6,29,14,23
South Korea,Seoul,-4,Clear.,6,6,1025,63,-10,4,6,24
Spain,Madrid,10,Sunny.,13,16,1026,62,3,13,9,69
Sri Lanka,Sri Jayawardenapura Kotte,27,Passing clouds.,11,20,1011,74,22,31,17,59
Sudan,Khartoum,25,Clear.,15,16,1014,18,-1,29,12,23
Suriname,Paramaribo,30,Scattered clouds.,11,20,1015,59,22,32,21,66
Swaziland,Mbabane,26,Passing clouds.,22,,1012,61,18,26,14,40
Sweden,Stockholm,-6,Ice fog.,No wind,5,1008,100,-6,-8,5,91
Switzerland,Bern,2,Light rain. Partly cloudy.,2,,1003,93,1,3,8,86
Syria,Damascus,6,Clear.,11,16,1023,81,3,10,9,57
Taiwan,Taipei,18,Passing clouds.,26,,1016,94,17,21,18,83
Tajikistan,Dushanbe,9,Clear.,9,,1015,34,-6,14,10,17
Tanzania,Dodoma,23,Partly sunny.,11,30,,73,18,27,7,71
Thailand,Bangkok,30,Passing clouds.,No wind,10,1008,59,21,35,10,46
Togo,Lome,29,Passing clouds.,20,,1008,79,25,37,16,66
Tonga,Nukualofa,26,Passing clouds.,No wind,,1015,89,24,34,11,74
Trinidad and Tobago,Port of Spain,29,Scattered showers. Scattered clouds.,22,,1014,70,23,31,17,72
Tunisia,Tunis,14,Passing clouds.,20,,1018,63,7,18,37,62
Turkey,Ankara,2,Passing clouds.,4,,1017,70,-3,6,10,70
Turkmenistan,Ashgabat,13,Clear.,28,,1015,47,2,9,8,72
Tuvalu,Funafuti,27,Passing clouds.,17,,1006,89,25,37,11,74
Uganda,Kampala,27,Scattered clouds.,11,5,,39,12,27,13,51
Ukraine,Kyiv,-5,Ice fog.,6,4,1010,93,-6,-8,9,87
Uk,Georgetown,26,Partly sunny.,24,,1017,84,23,28,34,80
Uk,Jamestown,20,Mild.,28,,1013,76,15,23,19,80
Uk,London,3,Partly cloudy.,11,,1000,93,2,2,19,82
United Arab Emirates,Abu Dhabi,20,Clear.,9,16,1018,73,15,20,31,55
Uruguay,Montevideo,28,Passing clouds.,13,20,1014,67,21,29,19,52
Usa,Washington Dc,9,Scattered clouds.,17,16,1016,33,-7,10,12,44
Uzbekistan,Tashkent,7,Clear.,15,16,1016,37,-7,12,8,40
Vanuatu,Port Vila,26,Mostly cloudy.,15,,1009,84,23,33,17,76
Vatican City State,Vatican City,14,Sunny.,9,16,1012,59,6,13,11,69
Venezuela,Caracas,30,Passing clouds.,11,,1013,70,24,23,9,81
Vietnam,Hanoi,20,Fog.,13,4,1014,88,18,25,8,74
Zambia,Lusaka,30,Partly sunny.,No wind,30,,33,12,28,11,47
Zimbabwe,Harare,,Low clouds.,,19,,,,27,9,34
